Team,year,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,finaly-16,final-8,final-4,final-2,champion,win
Los Angeles Lakers,1998,77,18630,2944,6156,0.478,471,1341,0.351,2473,4815,0.514,1761,2589,0.68,1010,2298,3308,1886,704,525,1150,1755,8120,Y,Y,Y,N,N,57
Seattle SuperSonics,1998,78,18795,2899,6128,0.473,592,1485,0.399,2307,4643,0.497,1466,2023,0.725,872,2125,2997,1897,754,367,1061,1714,7856,Y,Y,N,N,N,59
Utah Jazz,1998,77,18580,2797,5724,0.489,231,627,0.368,2566,5097,0.503,1926,2493,0.773,899,2265,3164,1935,606,387,1144,1839,7751,Y,Y,Y,Y,N,59
Minnesota Timberwolves,1998,77,18730,2959,6432,0.46,266,797,0.334,2693,5635,0.478,1567,2123,0.738,1007,2300,3307,1935,587,398,1043,1774,7751,Y,N,N,N,N,42
Houston Rockets,1998,78,18870,2807,6198,0.453,543,1575,0.345,2264,4623,0.49,1565,2029,0.771,946,2240,3186,1705,652,279,1186,1578,7722,Y,N,N,N,N,40
Phoenix Suns,1998,77,18755,2930,6312,0.464,394,1132,0.348,2536,5180,0.49,1360,1821,0.747,949,2315,3264,1966,702,404,1123,1661,7614,Y,N,N,N,N,53
New Jersey Nets,1998,76,18440,2803,6405,0.438,297,885,0.336,2506,5520,0.454,1609,2175,0.74,1246,1989,3235,1563,715,301,1040,1771,7512,Y,N,N,N,N,42
Washington Wizards,1998,77,18605,2888,6432,0.449,295,877,0.336,2593,5555,0.467,1403,2018,0.695,1080,2188,3268,1781,649,349,1037,1719,7474,N,N,N,N,N,38
Chicago Bulls,1998,77,18655,2894,6408,0.452,286,882,0.324,2608,5526,0.472,1388,1867,0.743,1185,2309,3494,1844,650,334,1037,1582,7462,Y,Y,Y,Y,Y,60
Charlotte Hornets,1998,77,18580,2770,5936,0.467,322,851,0.378,2448,5085,0.481,1567,2086,0.751,928,2209,3137,1810,655,294,1132,1653,7429,Y,Y,N,N,N,48
Los Angeles Clippers,1998,78,18820,2795,6359,0.44,504,1389,0.363,2291,4970,0.461,1430,1983,0.721,994,2159,3153,1452,594,437,1192,1745,7524,N,N,N,N,N,16
Boston Celtics,1998,77,18530,2831,6502,0.435,392,1182,0.332,2439,5320,0.458,1355,1855,0.73,1118,1922,3040,1704,937,348,1199,2074,7409,N,N,N,N,N,35
Vancouver Grizzlies,1998,76,18340,2776,6079,0.457,304,842,0.361,2472,5237,0.472,1449,1974,0.734,997,2155,3152,1826,555,326,1260,1698,7305,N,N,N,N,N,18
Atlanta Hawks,1998,77,18680,2711,5973,0.454,311,945,0.329,2400,5028,0.477,1649,2175,0.758,1032,2285,3317,1475,605,471,1093,1582,7382,Y,N,N,N,N,47
Indiana Pacers,1998,77,18630,2738,5851,0.468,379,970,0.391,2359,4881,0.483,1531,2008,0.762,827,2220,3047,1768,601,339,1039,1759,7386,Y,Y,Y,N,N,55
Miami Heat,1998,78,18795,2723,6028,0.452,528,1479,0.357,2195,4549,0.483,1466,1981,0.74,976,2294,3270,1678,642,416,1108,1878,7440,Y,N,N,N,N,55
Toronto Raptors,1998,77,18730,2802,6410,0.437,348,1026,0.339,2454,5384,0.456,1369,1909,0.717,1111,2001,3112,1658,732,606,1241,1744,7321,N,N,N,N,N,15
Portland Trail Blazers,1998,77,18605,2705,5992,0.451,302,978,0.309,2403,5014,0.479,1552,2118,0.733,1021,2370,3391,1642,541,439,1259,1762,7264,Y,N,N,N,N,44
Detroit Pistons,1998,78,18995,2719,6064,0.448,270,876,0.308,2449,5188,0.472,1631,2178,0.749,984,2229,3213,1509,644,321,1072,1723,7339,N,N,N,N,N,35
Milwaukee Bucks,1998,77,18730,2723,5993,0.454,224,631,0.355,2499,5362,0.466,1551,2017,0.769,968,2105,3073,1528,687,343,1247,1808,7221,N,N,N,N,N,35
Sacramento Kings,1998,78,18745,2817,6368,0.442,271,772,0.351,2546,5596,0.455,1395,2014,0.693,1046,2178,3224,1753,570,399,1155,1730,7300,N,N,N,N,N,27
Philadelphia 76ers,1998,78,18795,2693,6091,0.442,235,781,0.301,2458,5310,0.463,1654,2244,0.737,1063,2182,3245,1643,694,461,1222,1783,7275,N,N,N,N,N,30
San Antonio Spurs,1998,78,18870,2761,5879,0.47,284,803,0.354,2477,5076,0.488,1411,2042,0.691,935,2520,3455,1746,493,546,1224,1647,7217,Y,Y,N,N,N,53
Cleveland Cavaliers,1998,77,18630,2652,5853,0.453,281,752,0.374,2371,5101,0.465,1539,2041,0.754,899,2182,3081,1776,766,388,1273,1821,7124,Y,N,N,N,N,45
Dallas Mavericks,1998,78,18945,2733,6406,0.427,408,1139,0.358,2325,5267,0.441,1249,1666,0.75,953,2173,3126,1443,617,441,1061,1563,7123,N,N,N,N,N,20
New York Knicks,1998,78,18870,2707,6070,0.446,369,1096,0.337,2338,4974,0.47,1326,1722,0.77,926,2310,3236,1695,606,270,1151,1841,7109,Y,Y,N,N,N,42
Orlando Magic,1998,78,18870,2637,6173,0.427,282,869,0.325,2355,5304,0.444,1457,2004,0.727,1132,2091,3223,1613,618,423,1153,1538,7013,N,N,N,N,N,39
Denver Nuggets,1998,77,18530,2514,6031,0.417,260,812,0.32,2254,5219,0.432,1563,2029,0.77,989,2010,2999,1447,622,376,1145,1844,6851,N,N,N,N,N,10
Golden State Warriors,1998,77,18630,2665,6474,0.412,175,651,0.269,2490,5823,0.428,1259,1780,0.707,1220,2320,3540,1589,578,428,1244,1759,6764,N,N,N,N,N,16
Sacramento Kings,2000,76,18315,3040,6766,0.449,494,1545,0.32,2546,5221,0.488,1404,1853,0.758,992,2438,3430,1819,730,351,1192,1592,7978,Y,N,N,N,N,43
Detroit Pistons,2000,77,18630,2861,6260,0.457,411,1157,0.355,2450,5103,0.48,1865,2387,0.781,860,2318,3178,1603,624,259,1167,1885,7998,Y,N,N,N,N,41
Indiana Pacers,2000,77,18530,2854,6243,0.457,548,1406,0.39,2306,4837,0.477,1553,1910,0.813,797,2450,3247,1744,527,398,1047,1676,7809,Y,Y,Y,Y,N,52
Milwaukee Bucks,2000,77,18605,2986,6422,0.465,371,1007,0.368,2615,5415,0.483,1435,1817,0.79,957,2195,3152,1742,633,348,1106,1897,7778,Y,N,N,N,N,39
Dallas Mavericks,2000,76,18290,2948,6535,0.451,476,1206,0.395,2472,5329,0.464,1294,1620,0.799,857,2263,3120,1684,546,380,1019,1641,7666,N,N,N,N,N,36
Orlando Magic,2000,77,18555,3000,6604,0.454,276,808,0.342,2724,5796,0.47,1470,2009,0.732,1072,2389,3461,1612,693,439,1327,1863,7746,N,N,N,N,N,39
Los Angeles Lakers,2000,78,18820,2968,6479,0.458,327,982,0.333,2641,5497,0.48,1582,2270,0.697,1045,2613,3658,1817,584,515,1034,1751,7845,Y,Y,Y,Y,Y,65
Houston Rockets,2000,77,18630,2812,6272,0.448,537,1523,0.353,2275,4749,0.479,1470,2006,0.733,953,2428,3381,1663,581,408,1275,1563,7631,N,N,N,N,N,32
Boston Celtics,2000,77,18530,2855,6465,0.442,384,1158,0.332,2471,5307,0.466,1523,2035,0.748,1039,2262,3301,1626,735,273,1150,2091,7617,N,N,N,N,N,32
Phoenix Suns,2000,76,18340,2864,6284,0.456,415,1137,0.365,2449,5147,0.476,1360,1790,0.76,951,2362,3313,1945,691,412,1225,1814,7503,Y,Y,N,N,N,51
Denver Nuggets,2000,77,18605,2865,6484,0.442,434,1285,0.338,2431,5199,0.468,1437,1989,0.722,1017,2428,3445,1787,511,570,1163,1832,7601,N,N,N,N,N,31
Minnesota Timberwolves,2000,77,18655,3030,6466,0.469,226,650,0.348,2804,5816,0.482,1303,1668,0.781,930,2319,3249,2073,582,422,1037,1805,7589,Y,N,N,N,N,48
Seattle SuperSonics,2000,77,18555,2886,6460,0.447,513,1512,0.339,2373,4948,0.48,1281,1843,0.695,963,2335,3298,1756,606,319,1064,1664,7566,Y,N,N,N,N,43
Charlotte Hornets,2000,77,18555,2741,6136,0.447,314,941,0.334,2427,5195,0.467,1757,2328,0.755,841,2467,3308,1888,692,454,1104,1579,7553,Y,N,N,N,N,45
Toronto Raptors,2000,77,18555,2821,6460,0.437,400,1080,0.37,2421,5380,0.45,1509,1965,0.768,1039,2298,3337,1853,626,511,1031,1872,7551,N,N,N,N,N,43
New Jersey Nets,2000,77,18555,2790,6437,0.433,459,1316,0.349,2331,5121,0.455,1510,1925,0.784,978,2169,3147,1578,674,376,995,1803,7549,N,N,N,N,N,31
Portland Trail Blazers,2000,77,18580,2830,6031,0.469,385,1062,0.363,2445,4969,0.492,1459,1921,0.76,898,2400,3298,1801,598,378,1129,1768,7504,Y,Y,Y,N,N,56
Cleveland Cavaliers,2000,77,18655,2780,6295,0.442,319,854,0.374,2461,5441,0.452,1565,2087,0.75,941,2344,3285,1804,674,342,1318,2086,7444,N,N,N,N,N,30
Utah Jazz,2000,77,18530,2783,5979,0.465,313,806,0.388,2470,5173,0.477,1555,2017,0.771,859,2276,3135,1920,588,412,1072,1894,7434,Y,Y,N,N,N,53
Washington Wizards,2000,77,18580,2829,6263,0.452,296,815,0.363,2533,5448,0.465,1472,1985,0.742,994,2305,3299,1657,556,365,1194,2010,7426,N,N,N,N,N,28
San Antonio Spurs,2000,77,18605,2773,5995,0.463,311,841,0.37,2462,5154,0.478,1545,2061,0.75,863,2510,3373,1706,568,521,1120,1604,7402,Y,N,N,N,N,50
Golden State Warriors,2000,77,18555,2813,6715,0.419,331,1022,0.324,2482,5693,0.436,1380,1987,0.695,1232,2300,3532,1738,675,336,1185,1923,7337,N,N,N,N,N,19
Miami Heat,2000,77,18630,2804,6090,0.46,428,1138,0.376,2376,4952,0.48,1264,1716,0.737,866,2477,3343,1819,544,501,1115,1831,7300,Y,Y,N,N,N,50
Philadelphia 76ers,2000,77,18630,2809,6390,0.44,199,613,0.325,2610,5777,0.452,1474,2072,0.711,1080,2325,3405,1695,738,370,1178,1843,7291,Y,Y,N,N,N,46
Atlanta Hawks,2000,77,18580,2810,6374,0.441,240,762,0.315,2570,5612,0.458,1389,1869,0.743,1083,2415,3498,1439,457,434,1141,1601,7249,N,N,N,N,N,26
Vancouver Grizzlies,2000,76,18340,2671,5945,0.449,297,826,0.36,2374,5119,0.464,1461,1902,0.768,935,2147,3082,1580,573,325,1240,1754,7100,N,N,N,N,N,21
New York Knicks,2000,77,18605,2733,5997,0.456,337,892,0.378,2396,5105,0.469,1309,1660,0.789,742,2375,3117,1487,485,324,1078,1879,7112,Y,Y,Y,N,N,49
Los Angeles Clippers,2000,76,18240,2661,6240,0.426,385,1162,0.331,2276,5078,0.448,1242,1670,0.744,876,2219,3095,1363,525,467,1176,1684,6949,N,N,N,N,N,14
Chicago Bulls,2000,76,18365,2365,5759,0.411,307,932,0.329,2058,4827,0.426,1357,1923,0.706,962,2167,3129,1514,604,358,1334,1770,6394,N,N,N,N,N,17
Sacramento Kings,2001,78,19120,2981,6624,0.45,459,1288,0.356,2522,5336,0.473,1529,1982,0.771,940,2562,3502,1758,749,417,1111,1519,7950,Y,Y,N,N,N,54
Milwaukee Bucks,2001,79,19060,2991,6544,0.457,540,1431,0.377,2451,5113,0.479,1436,1824,0.787,933,2405,3338,1772,647,367,1035,1863,7958,Y,Y,Y,N,N,50
Los Angeles Lakers,2001,80,19425,3036,6522,0.466,426,1236,0.345,2610,5286,0.494,1540,2265,0.68,1053,2513,3566,1845,552,477,1112,1822,8038,Y,Y,Y,Y,Y,54
Dallas Mavericks,2001,78,18820,2923,6374,0.459,493,1292,0.382,2430,5082,0.478,1462,1839,0.795,789,2426,3215,1639,590,456,1030,1813,7801,Y,Y,N,N,N,49
Toronto Raptors,2001,78,18970,2899,6603,0.439,415,1112,0.373,2484,5491,0.452,1422,1899,0.749,1059,2409,3468,1896,566,495,997,1672,7635,Y,Y,N,N,N,44
Orlando Magic,2001,78,18995,2872,6563,0.438,464,1270,0.365,2408,5293,0.455,1404,1962,0.716,1030,2339,3369,1730,635,454,1152,1968,7612,Y,N,N,N,N,42
Minnesota Timberwolves,2001,78,18870,2993,6518,0.459,307,854,0.359,2686,5664,0.474,1290,1642,0.786,952,2358,3310,1990,649,444,1058,1810,7583,Y,N,N,N,N,46
Seattle SuperSonics,2001,79,19060,2908,6389,0.455,441,1122,0.393,2467,5267,0.468,1417,1932,0.733,966,2323,3289,1729,636,395,1168,1669,7674,N,N,N,N,N,43
Utah Jazz,2001,78,18820,2814,5996,0.469,316,812,0.389,2498,5184,0.482,1631,2166,0.753,894,2274,3168,2009,638,454,1183,2003,7575,Y,N,N,N,N,51
Houston Rockets,2001,79,19110,2826,6268,0.451,478,1352,0.354,2348,4916,0.478,1519,2004,0.758,891,2416,3307,1545,571,351,1085,1610,7649,N,N,N,N,N,42
San Antonio Spurs,2001,79,19110,2779,6017,0.462,422,1033,0.409,2357,4984,0.473,1629,2281,0.714,861,2615,3476,1701,551,553,1058,1509,7609,Y,Y,Y,N,N,56
Denver Nuggets,2001,78,18820,2822,6498,0.434,475,1352,0.351,2347,5146,0.456,1395,1889,0.738,966,2461,3427,1868,517,516,1035,1734,7514,N,N,N,N,N,38
Detroit Pistons,2001,78,18845,2776,6521,0.426,379,1053,0.36,2397,5468,0.438,1507,2101,0.717,1053,2482,3535,1550,578,428,1206,1856,7438,N,N,N,N,N,31
Portland Trail Blazers,2001,79,19060,2887,6163,0.468,349,1006,0.347,2538,5157,0.492,1405,1843,0.762,921,2401,3322,1900,653,411,1183,1680,7528,Y,Y,Y,Y,Y,50
Philadelphia 76ers,2001,79,19110,2794,6238,0.448,250,768,0.326,2544,5470,0.465,1639,2199,0.745,1032,2503,3535,1621,667,400,1189,1601,7477,Y,Y,Y,Y,N,54
Boston Celtics,2001,79,19085,2672,6245,0.428,559,1543,0.362,2113,4702,0.449,1561,2111,0.739,859,2268,3127,1640,739,324,1185,1885,7464,N,N,N,N,N,35
Phoenix Suns,2001,78,18845,2794,6414,0.436,315,996,0.316,2479,5418,0.458,1432,1894,0.756,912,2411,3323,1805,734,406,1155,1788,7335,Y,N,N,N,N,48
Washington Wizards,2001,78,18720,2681,6138,0.437,266,818,0.325,2415,5320,0.454,1595,2106,0.757,977,2248,3225,1563,598,368,1258,1825,7223,N,N,N,N,N,18
Golden State Warriors,2001,78,18820,2792,6789,0.411,277,935,0.296,2515,5854,0.43,1355,1914,0.708,1244,2273,3517,1704,713,374,1203,1639,7216,N,N,N,N,N,17
New Jersey Nets,2001,79,19010,2676,6313,0.424,346,1041,0.332,2330,5272,0.442,1581,2081,0.76,879,2260,3139,1546,628,394,1095,1916,7279,N,N,N,N,N,26
Indiana Pacers,2001,78,18945,2670,6074,0.44,382,1113,0.343,2288,4961,0.461,1453,1897,0.766,858,2457,3315,1651,524,461,1105,1823,7175,Y,N,N,N,N,38
Cleveland Cavaliers,2001,78,18845,2739,6199,0.442,214,631,0.339,2525,5568,0.453,1485,1941,0.765,957,2316,3273,1634,606,410,1231,1826,7177,N,N,N,N,N,27
Los Angeles Clippers,2001,78,19070,2737,6140,0.446,341,1014,0.336,2396,5126,0.467,1357,1958,0.693,910,2437,3347,1504,461,491,1151,1687,7172,N,N,N,N,N,28
Charlotte Hornets,2001,79,19160,2686,6255,0.429,329,954,0.345,2357,5301,0.445,1536,2059,0.746,992,2497,3489,1823,641,433,1077,1695,7237,Y,Y,N,N,N,43
Vancouver Grizzlies,2001,79,19060,2753,6263,0.44,312,911,0.342,2441,5352,0.456,1414,1830,0.773,835,2345,3180,1831,559,339,1200,1673,7232,N,N,N,N,N,22
Atlanta Hawks,2001,78,18745,2725,6316,0.431,316,877,0.36,2409,5439,0.443,1299,1710,0.76,972,2380,3352,1471,596,372,1225,1761,7065,N,N,N,N,N,24
Miami Heat,2001,78,18920,2557,5935,0.431,463,1333,0.347,2094,4602,0.455,1363,1794,0.76,760,2304,3064,1540,604,282,1015,1652,6940,Y,N,N,N,N,48
New York Knicks,2001,78,18945,2613,5880,0.444,374,1060,0.353,2239,4820,0.465,1320,1657,0.797,733,2400,3133,1431,517,334,1077,1776,6920,Y,N,N,N,N,46
Chicago Bulls,2001,78,18895,2598,6135,0.423,307,891,0.345,2291,5244,0.437,1317,1797,0.733,894,2157,3051,1722,635,357,1145,1824,6820,N,N,N,N,N,13
Dallas Mavericks,2002,78,18920,3046,6585,0.463,597,1574,0.379,2449,5011,0.489,1539,1915,0.804,865,2444,3309,1728,546,359,913,1758,8228,Y,Y,N,N,N,49
Sacramento Kings,2002,79,19035,3145,6748,0.466,414,1112,0.372,2731,5636,0.485,1559,2070,0.753,976,2599,3575,1890,726,366,1050,1516,8263,Y,Y,Y,N,N,54
Los Angeles Lakers,2002,79,19010,3026,6572,0.46,486,1378,0.353,2540,5194,0.489,1426,2052,0.695,990,2503,3493,1808,600,472,957,1743,7964,Y,Y,Y,Y,Y,54
Orlando Magic,2002,79,19110,2982,6649,0.448,599,1611,0.372,2383,5038,0.473,1397,1849,0.756,919,2359,3278,1748,640,376,1050,1647,7960,Y,N,N,N,N,42
Minnesota Timberwolves,2002,79,19085,3064,6645,0.461,382,1010,0.378,2682,5635,0.476,1340,1682,0.797,1018,2474,3492,1924,506,414,1034,1678,7850,Y,N,N,N,N,46
Milwaukee Bucks,2002,79,19185,2929,6345,0.462,573,1530,0.375,2356,4815,0.489,1273,1700,0.749,809,2477,3286,1789,570,378,1071,1715,7704,N,N,N,N,N,50
Seattle SuperSonics,2002,79,19110,3013,6432,0.468,474,1262,0.376,2539,5170,0.491,1202,1595,0.754,931,2258,3189,1848,674,356,1051,1667,7702,Y,N,N,N,N,43
Golden State Warriors,2002,79,19060,2876,6732,0.427,300,951,0.315,2576,5781,0.446,1643,2279,0.721,1304,2394,3698,1632,623,500,1279,1803,7695,N,N,N,N,N,17
Indiana Pacers,2002,79,19185,2835,6368,0.445,394,1166,0.338,2441,5202,0.469,1586,2056,0.771,895,2483,3378,1811,628,423,1144,1808,7650,Y,N,N,N,N,38
San Antonio Spurs,2002,79,19135,2794,6135,0.455,426,1183,0.36,2368,4952,0.478,1624,2190,0.742,883,2472,3355,1562,597,514,1099,1521,7638,Y,N,N,N,N,56
Boston Celtics,2002,80,19350,2780,6576,0.423,683,1904,0.359,2097,4672,0.449,1476,1931,0.764,872,2501,3373,1674,779,282,1048,1730,7719,Y,Y,N,N,N,35
New Jersey Nets,2002,79,19110,2934,6570,0.447,390,1153,0.338,2544,5417,0.47,1352,1836,0.736,1008,2430,3438,1931,688,478,1132,1682,7610,Y,Y,Y,Y,N,26
Portland Trail Blazers,2002,80,19300,2919,6493,0.45,451,1279,0.353,2468,5214,0.473,1416,1853,0.764,1062,2381,3443,1867,683,356,1095,1567,7705,Y,N,N,N,N,50
Utah Jazz,2002,79,19110,2770,6125,0.452,273,819,0.333,2497,5306,0.471,1778,2339,0.76,1063,2255,3318,1938,721,492,1248,1904,7591,Y,N,N,N,N,51
Los Angeles Clippers,2002,79,19085,2855,6426,0.444,393,1104,0.356,2462,5322,0.463,1450,1961,0.739,1053,2392,3445,1637,492,519,1114,1562,7553,N,N,N,N,N,28
Phoenix Suns,2002,79,19110,2997,6695,0.448,338,1050,0.322,2659,5645,0.471,1216,1578,0.771,1035,2339,3374,1770,647,387,1121,1730,7548,N,N,N,N,N,48
Cleveland Cavaliers,2002,79,19085,2838,6323,0.449,365,976,0.374,2473,5347,0.463,1468,1899,0.773,931,2388,3319,1826,554,453,1083,1677,7509,N,N,N,N,N,27
Atlanta Hawks,2002,79,19010,2788,6330,0.44,409,1145,0.357,2379,5185,0.459,1422,1855,0.767,906,2336,3242,1591,639,331,1154,1642,7407,N,N,N,N,N,24
Charlotte Hornets,2002,79,19035,2792,6338,0.441,335,958,0.35,2457,5380,0.457,1490,2008,0.742,1007,2424,3431,1701,631,442,1065,1680,7409,Y,Y,N,N,N,43
Detroit Pistons,2002,79,18960,2716,6046,0.449,536,1446,0.371,2180,4600,0.474,1417,1881,0.753,780,2274,3054,1682,623,548,1100,1629,7385,Y,Y,N,N,N,31
Houston Rockets,2002,79,19260,2739,6370,0.43,485,1440,0.337,2254,4930,0.457,1365,1844,0.74,981,2327,3308,1424,516,430,1034,1419,7328,N,N,N,N,N,42
Washington Wizards,2002,80,19250,2862,6497,0.441,299,768,0.389,2563,5729,0.447,1390,1813,0.767,1023,2336,3359,1673,554,346,976,1719,7413,N,N,N,N,N,18
Denver Nuggets,2002,79,19085,2799,6621,0.423,409,1249,0.327,2390,5372,0.445,1263,1700,0.743,1079,2227,3306,1737,582,442,1101,1815,7270,N,N,N,N,N,38
New York Knicks,2002,79,19085,2700,6266,0.431,451,1284,0.351,2249,4982,0.451,1363,1737,0.785,844,2367,3211,1643,533,277,1117,1730,7214,N,N,N,N,N,46
Toronto Raptors,2002,79,19035,2801,6484,0.432,373,1077,0.346,2428,5407,0.449,1226,1665,0.736,1082,2247,3329,1706,662,440,1070,1703,7201,Y,N,N,N,N,44
Philadelphia 76ers,2002,79,19010,2699,6202,0.435,211,703,0.3,2488,5499,0.452,1581,2035,0.777,1049,2460,3509,1575,673,352,1133,1572,7190,Y,N,N,N,N,54
Memphis Grizzlies,2002,78,18820,2706,6232,0.434,316,1033,0.306,2390,5199,0.46,1276,1810,0.705,939,2305,3244,1689,624,470,1221,1506,7004,N,N,N,N,N,22
Chicago Bulls,2002,79,19085,2698,6277,0.43,288,838,0.344,2410,5439,0.443,1341,1864,0.719,895,2275,3170,1751,618,346,1108,1761,7025,N,N,N,N,N,13
Miami Heat,2002,79,19210,2697,6145,0.439,302,870,0.347,2395,5275,0.454,1203,1658,0.726,871,2438,3309,1605,527,431,1109,1785,6899,N,N,N,N,N,48
Dallas Mavericks,2003,80,19300,3080,6808,0.452,625,1633,0.383,2455,5175,0.474,1457,1754,0.831,892,2471,3363,1783,649,440,887,1687,8242,Y,Y,N,N,N,58
Golden State Warriors,2003,80,19275,2978,6747,0.441,408,1186,0.344,2570,5561,0.462,1812,2325,0.779,1242,2483,3725,1669,583,486,1224,1743,8176,N,N,N,N,N,38
Sacramento Kings,2003,81,19590,3205,6903,0.464,487,1273,0.383,2718,5630,0.483,1350,1811,0.745,885,2721,3606,2005,728,452,1159,1650,8247,Y,Y,N,N,N,58
Los Angeles Lakers,2003,79,19210,2973,6613,0.45,461,1312,0.351,2512,5301,0.474,1481,2022,0.732,1042,2464,3506,1836,618,455,1108,1806,7888,Y,Y,N,N,N,48
Milwaukee Bucks,2003,80,19425,2972,6516,0.456,574,1490,0.385,2398,5026,0.477,1440,1856,0.776,855,2309,3164,1772,604,329,965,1778,7958,Y,N,N,N,N,40
Orlando Magic,2003,80,19325,2881,6594,0.437,558,1553,0.359,2323,5041,0.461,1587,2038,0.779,937,2337,3274,1633,680,292,1109,1851,7907,Y,N,N,N,N,42
Minnesota Timberwolves,2003,80,19325,3086,6627,0.466,283,782,0.362,2803,5845,0.48,1377,1786,0.771,931,2531,3462,2005,543,421,1067,1663,7832,Y,N,N,N,N,49
Memphis Grizzlies,2003,79,19160,2937,6481,0.453,448,1231,0.364,2489,5250,0.474,1393,1878,0.742,910,2374,3284,1818,630,483,1176,1618,7715,N,N,N,N,N,28
Philadelphia 76ers,2003,79,19135,2880,6411,0.449,236,761,0.31,2644,5650,0.468,1643,2139,0.768,1004,2340,3344,1704,808,275,1120,1741,7639,Y,Y,N,N,N,47
Indiana Pacers,2003,79,19185,2806,6366,0.441,368,1079,0.341,2438,5287,0.461,1663,2172,0.766,960,2530,3490,1843,668,435,1112,1745,7643,Y,N,N,N,N,46
San Antonio Spurs,2003,79,19110,2812,6084,0.462,437,1216,0.359,2375,4868,0.488,1547,2131,0.726,912,2470,3382,1579,604,512,1198,1614,7608,Y,Y,Y,Y,Y,59
New York Knicks,2003,80,19375,2892,6562,0.441,591,1547,0.382,2301,5015,0.459,1299,1597,0.813,823,2317,3140,1756,568,248,1085,1847,7674,N,N,N,N,N,36
New Jersey Nets,2003,80,19275,2847,6433,0.443,339,1014,0.334,2508,5419,0.463,1630,2157,0.756,974,2472,3446,1856,707,367,1156,1727,7663,Y,Y,Y,Y,N,49
Phoenix Suns,2003,79,19085,2899,6561,0.442,384,1116,0.344,2515,5445,0.462,1388,1870,0.742,1033,2356,3389,1658,636,392,1110,1740,7570,Y,N,N,N,N,43
Utah Jazz,2003,80,19300,2826,6040,0.468,219,630,0.348,2607,5410,0.482,1724,2310,0.746,999,2329,3328,2057,690,461,1272,1795,7595,Y,N,N,N,N,47
Portland Trail Blazers,2003,79,19135,2861,6239,0.459,364,1107,0.329,2497,5132,0.487,1403,1887,0.744,958,2294,3252,1781,697,310,1145,1572,7489,Y,N,N,N,N,48
Chicago Bulls,2003,80,19450,2910,6561,0.444,334,968,0.345,2576,5593,0.461,1422,1974,0.72,978,2488,3466,1730,593,449,1299,1981,7576,N,N,N,N,N,29
Atlanta Hawks,2003,80,19425,2791,6285,0.444,392,1120,0.35,2399,5165,0.464,1563,1972,0.793,925,2486,3411,1638,600,456,1269,1741,7537,N,N,N,N,N,34
New Orleans Hornets,2003,79,19185,2811,6451,0.436,390,1046,0.373,2421,5405,0.448,1414,1839,0.769,1056,2375,3431,1741,624,378,1108,1701,7426,Y,N,N,N,N,44
Houston Rockets,2003,80,19450,2778,6313,0.44,425,1221,0.348,2353,5092,0.462,1521,1987,0.765,996,2493,3489,1461,576,478,1163,1578,7502,N,N,N,N,N,41
Los Angeles Clippers,2003,80,19275,2747,6311,0.435,371,1143,0.325,2376,5168,0.46,1599,2128,0.751,970,2396,3366,1558,558,445,1220,1742,7464,N,N,N,N,N,25
Boston Celtics,2003,80,19350,2628,6350,0.414,707,2117,0.334,1921,4233,0.454,1443,1946,0.742,830,2396,3226,1531,707,296,1077,1714,7406,Y,Y,N,N,N,42
Seattle SuperSonics,2003,80,19375,2819,6433,0.438,436,1240,0.352,2383,5193,0.459,1291,1737,0.743,938,2322,3260,1730,662,288,1004,1669,7365,N,N,N,N,N,39
Washington Wizards,2003,80,19350,2750,6235,0.441,245,790,0.31,2505,5445,0.46,1591,2045,0.778,893,2338,3231,1569,610,385,1005,1604,7336,N,N,N,N,N,37
Cleveland Cavaliers,2003,80,19350,2774,6579,0.422,289,888,0.325,2485,5691,0.437,1474,1977,0.746,1091,2473,3564,1666,623,509,1401,1815,7311,N,N,N,N,N,16
Detroit Pistons,2003,79,19135,2596,6024,0.431,510,1437,0.355,2086,4587,0.455,1499,1941,0.772,846,2361,3207,1564,526,454,1009,1689,7201,Y,Y,Y,N,N,48
Toronto Raptors,2003,80,19325,2780,6496,0.428,398,1162,0.343,2382,5334,0.447,1310,1821,0.719,993,2296,3289,1550,598,373,1084,1725,7268,N,N,N,N,N,24
Miami Heat,2003,80,19350,2615,6355,0.411,341,1069,0.319,2274,5286,0.43,1256,1642,0.765,926,2398,3324,1460,584,318,1076,1812,6827,N,N,N,N,N,24
Denver Nuggets,2003,80,19250,2612,6354,0.411,220,797,0.276,2392,5557,0.43,1269,1815,0.699,1080,2307,3387,1676,688,411,1398,2006,6713,N,N,N,N,N,17
Dallas Mavericks,2004,80,19325,3248,7072,0.459,495,1421,0.348,2753,5651,0.487,1433,1798,0.797,1162,2473,3635,1920,630,423,944,1574,8424,Y,N,N,N,N,50
Sacramento Kings,2004,81,19540,3067,6620,0.463,593,1479,0.401,2474,5141,0.481,1615,2032,0.795,873,2461,3334,2129,700,316,1095,1569,8342,Y,Y,N,N,N,55
Milwaukee Bucks,2004,81,19540,2937,6564,0.447,399,1134,0.352,2538,5430,0.467,1679,2166,0.775,943,2471,3414,1849,550,381,1059,1654,7952,Y,N,N,N,N,41
